geneid	Bd21_D2_mock_R1	Bd21_D2_mock_R2	Bd21_D2_mock_R3	Bd21_D2_treated_R1	Bd21_D2_treated_R2	Bd21_D2_treated_R3	Bd21_D4_mock_R1	Bd21_D4_mock_R2	Bd21_D4_mock_R3	Bd21_D4_treated_R1	Bd21_D4_treated_R2	Bd21_D4_treated_R3	Bd21_D6_mock_R1	Bd21_D6_mock_R2	Bd21_D6_mock_R3	Bd21_D6_treated_R1	Bd21_D6_treated_R2	Bd21_D6_treated_R3
BdiBd21-3.1G0225500	6.52671091277372	2.19715158844929	2.08753983918436	4.02217096669431	2.53118232431364	2.08320846907271	11.597844271328	7.66436439406314	5.81761253971595	2.05673703542426	2.23379867287452	2.67409006905469	14.7986812348557	7.49972334445206	7.49478353759074	5.9850007251916	3.46699843454409	6.03602470498939
BdiBd21-3.1G0897900	26.1601915827089	22.7002324348888	19.495183047998	39.0318376673769	35.0881744497816	34.9021790046703	18.7492938627097	16.3890619073049	16.8997926910291	30.1513408698277	35.8917822403442	30.3454315929586	15.8108057455849	30.0356906969393	20.767011858594	27.4786591582463	26.5018585785187	26.5460632901905
BdiBd21-3.2G0497000	15.3841456723934	7.04013506020384	6.45372204650708	13.1454180229519	16.1695474625966	14.7938684448583	6.23904461297714	5.8409654596265	5.51461715572414	16.8694733783026	21.8011123846356	21.0021589113106	7.60166801544284	10.5006649640594	10.2770507120413	23.4789977650814	21.462148761243	18.0728786356388
BdiBd21-3.2G0800700	4.71927606771589	3.64631243081574	2.72780294064273	9.35284482871206	8.04228468420117	9.36649607551394	4.6398764835465	5.84320058924084	3.91609276293582	7.04663208203348	10.8124642267202	9.73950963982168	4.85869310327872	4.8623162312776	3.93340633785107	7.32910108588924	7.00566715226608	7.92363120818173
BdiBd21-3.1G0413500	3.32150186665691	3.09955313370525	1.86856179318805	4.05175449797655	3.60510944027844	2.92334451613953	7.77272423377957	10.273114463095	5.92533467343628	1.66282979618365	2.4670983697948	3.4422363518959	6.21230064995586	8.6500954724493	3.6598839939746	7.35782541076503	5.93670531986577	6.09822461048187
BdiBd21-3.3G0078900	23.089685415601	37.0710673798635	19.2371150038385	51.7032668730382	19.5083131439386	16.3206579778864	42.0546066754091	36.949500036495	23.1987509366939	16.9139858527802	15.9761132658825	25.1192571031243	39.258673760936	32.5993754313003	24.1884691871987	34.5277031997589	31.4417842724598	35.0626777823798
BdiBd21-3.1G0072600	14.8733700608401	8.77279042935606	7.86785988169674	16.7076974308786	13.6914925556069	18.8767665727241	14.4241326910714	9.89083473455239	10.9075519604716	29.7876822423439	17.8314730298102	17.8000761359883	21.2767098956954	10.8853281599755	19.4618328706663	25.0478999176753	17.579083889668	23.897202202298
BdiBd21-3.1G0120600	0.178288437797069	0.102889730579427	0.152066064818409	0.133328526146657	0.287212038395627	0.204863239489723	0	0.264461579878134	0	0.0749111230053094	0.488160705828733	0.183467918469351	0.582122398781874	0.404123101832578	0.72893955066714	0.282964644883181	0.365298738435218	0.423988694452426
BdiBd21-3.1G0740500	4.95779002028004	3.41091095980596	3.21705737308593	4.07104477121106	3.77932920870456	3.86487015567648	4.84408175352586	4.61431607244383	4.42753346695066	5.29353857805121	4.36517279121603	3.81469374009607	6.79727690094511	3.70184075723924	6.32392624961886	5.03590001847483	4.08980313070428	4.59716662266789
BdiBd21-3.5G0012500	5.68955422525075	2.94194873707617	1.66934388740802	3.40383207641361	3.61733015024548	4.81168193428616	0.84287410836731	1.11401639023877	0.51826530518861	0.841480453758794	4.25285451782175	2.7634855219446	0.217204894395551	0.309513773967112	0.041354621400843	0.577919317091921	1.36780643445164	0.943259351868208
BdiBd21-3.1G0153800	15.4334892890865	15.4610120740554	14.8655848078237	17.4208035978304	15.2640048712501	17.3558334832816	14.4620196157425	15.839340957296	17.5137545424966	17.7146300195352	18.5276162158503	16.5736312198838	17.4671232820261	16.5290142295243	24.0327560289452	20.6335470330419	18.3700385186065	21.3190182081543
BdiBd21-3.2G0225300	12.5328745050371	12.7719091354509	12.7939138815076	14.7686226290295	12.0601295583218	14.5234045756677	13.6333301029995	12.7665018672571	13.7112100885582	14.6164433907521	14.8124459880043	13.8107499771506	18.2811684205253	12.8755840531027	19.1097796332979	17.5260592656192	15.1150889673023	17.7440204560216
BdiBd21-3.3G0443300	13.6613674648109	11.3443644693612	9.67897787103731	10.8560847721685	8.99835316293498	12.8940374194012	15.4484593721639	15.5013210539926	15.2491152653937	19.788013927605	14.590295367452	18.902240970101	23.4718467985761	16.4090938081336	21.060018182471	25.777513219568	23.4398501751188	23.8979064420485
BdiBd21-3.3G0600100	0.428895325408376	0.360020690666309	0.199534963455009	0.505406258218364	0.209371147166806	0.313615503647153	1.13773866335408	0.809703603002563	0.322879028607852	0.327651191366236	0.160136202501894	0.588473625967633	1.1751347042281	0.353516034633943	0.566805990597397	0.693083638356336	0.852142731643194	0.847757534772391
BdiBd21-3.5G0119800	0.123092571168145	0.0568290872489885	0.0419953265331207	0.0245471159674136	0.079317915874728	0.113152117762467	0.0552589178622641	0.0730350352375443	0.254831471681044	0	0	0	0.074197771813944	0	0	0.0625159475173537	0	0.0669090529497117
BdiBd21-3.1G0758200	10.3510061902076	9.65854797204878	10.1651611906738	10.5548294997469	10.0289541346231	10.9751939668672	10.9111045675345	11.5273711149213	11.7407594377122	12.6398952807204	12.886461629483	12.9809773111523	15.5877459091003	7.52682619233156	15.9519125056597	14.7397528451762	13.1341995300239	14.5514518834887
BdiBd21-3.2G0655900	2.75142849663495	2.37399357809605	2.43400983198689	2.97162218087622	2.71783689131768	2.87694222223256	2.4776030599414	2.74748406243319	2.52479868977461	3.46592550714741	3.32079272632697	3.55351454918724	3.5918085499391	1.745274994794	3.639704182479	3.86606296844379	3.80611072771882	3.59628333984472
BdiBd21-3.4G0097700	6.78105990187084	6.26612903970621	5.75414357551448	7.40780491628004	7.41290084424786	7.42930901543072	6.81668731859206	7.29196154465014	6.94744802850221	8.01733966968814	9.44477137761829	8.8902448548471	9.06589465302173	5.39067741920065	8.77537458530535	9.631080907798	9.57037108498712	9.62476523509901
BdiBd21-3.4G0227300	9.28131439347828	7.77608238442389	8.16361609884827	10.9441505687896	9.46047465539142	10.3790789549769	8.41686927045218	9.32980669811541	9.68448713776972	10.006941325296	11.4129807604005	10.2104172238637	10.560626977109	6.57430735575275	11.2109387685569	12.142168446988	11.5967730458346	11.9537593385162
BdiBd21-3.2G0590100	4.85386868432567	2.87354888514791	2.04117784744723	4.2432367382521	2.75670234067825	2.53919688370976	3.59557757088271	2.89141756961237	3.09651333712984	4.47622840948151	5.35038093566554	5.52117844060918	6.25298694728472	1.96857989491285	6.10218118833675	6.19968377031132	4.5211393345217	4.72079983710468
BdiBd21-3.2G0641600	9.36277265610956	7.72875586586244	6.07852354905112	9.07331540772657	11.1468111109284	8.23020010839432	5.69008971358857	6.9174611946417	6.06498902600886	10.8321483865677	15.240599127203	14.0440436766431	6.78732950736126	4.30953426877251	11.7550856593114	14.9395252867185	16.2190606662611	14.8031500433169
