geneid,cluster
BDIBD4G0023600,0
BDIBD4G0025200,0
BDIBD4G0029000,0
BDIBD4G0034100,0
BDIBD4G0041100,0
BDIBD4G0042200,0
BDIBD4G0043400,0
BDIBD4G0043700,0
BDIBD4G0045300,0
BDIBD4G0051700,0
BDIBD4G0053400,0
BDIBD4G0053500,0
BDIBD4G0055800,0
BDIBD4G0065600,0
BDIBD4G0067300,0
BDIBD4G0075300,0
BDIBD4G0076200,0
BDIBD4G0078500,0
BDIBD4G0084301,0
BDIBD4G0084700,0
BDIBD4G0088200,0
BDIBD4G0102000,0
BDIBD4G0104500,0
BDIBD4G0108400,0
BDIBD4G0110100,0
BDIBD4G0114800,0
BDIBD4G0117300,0
BDIBD4G0118600,0
BDIBD4G0120100,0
BDIBD4G0124700,0
BDIBD4G0125100,0
BDIBD4G0129700,0
BDIBD4G0130300,0
BDIBD4G0131300,0
BDIBD4G0139400,0
BDIBD4G0147901,0
BDIBD4G0154600,0
BDIBD4G0172200,0
BDIBD4G0172300,0
BDIBD4G0178600,0
BDIBD4G0179000,0
BDIBD4G0193700,0
BDIBD4G0194100,0
BDIBD4G0208300,0
BDIBD4G0211400,0
BDIBD4G0212000,0
BDIBD4G0221400,0
BDIBD4G0223100,0
BDIBD4G0224900,0
BDIBD4G0227900,0
BDIBD4G0240200,0
BDIBD4G0240400,0
BDIBD4G0242000,0
BDIBD4G0244300,0
BDIBD4G0246200,0
BDIBD4G0247700,0
BDIBD4G0256100,0
BDIBD4G0266100,0
BDIBD4G0268300,0
BDIBD4G0276700,0
BDIBD4G0288300,0
BDIBD4G0289000,0
BDIBD4G0294500,0
BDIBD4G0294900,0
BDIBD4G0299200,0
BDIBD4G0302400,0
BDIBD4G0312400,0
BDIBD4G0323400,0
BDIBD4G0325100,0
BDIBD4G0325200,0
BDIBD4G0326601,0
BDIBD4G0339100,0
BDIBD4G0353400,0
BDIBD4G0353900,0
BDIBD4G0359400,0
BDIBD4G0361700,0
BDIBD4G0373300,0
BDIBD4G0381800,0
BDIBD4G0382800,0
BDIBD4G0383900,0
BDIBD4G0388100,0
BDIBD4G0389400,0
BDIBD4G0392100,0
BDIBD4G0392251,0
BDIBD4G0395500,0
BDIBD4G0396400,0
BDIBD4G0397300,0
BDIBD4G0401300,0
BDIBD4G0402000,0
BDIBD4G0403000,0
BDIBD4G0404000,0
BDIBD4G0404800,0
BDIBD4G0409400,0
BDIBD4G0410100,0
BDIBD4G0413100,0
BDIBD4G0413700,0
BDIBD4G0415900,0
BDIBD4G0416000,0
BDIBD4G0417900,0
BDIBD4G0419700,0
BDIBD4G0421400,0
BDIBD4G0422500,0
BDIBD4G0429100,0
BDIBD4G0432700,0
BDIBD4G0436900,0
BDIBD4G0439200,0
BDIBD4G0439400,0
BDIBD4G0441200,0
BDIBD4G0441600,0
BDIBD4G0451300,0
BDIBD4G0457732,0
BDIBD4G0458300,0
BDIBD4G0461066,0
BDIBD4G0469400,0
BDIBD4G0470000,0
BDIBD4G0471300,0
BDIBD4G0471700,0
BDIBD4G0475500,0
BDIBD4G0476500,0
BDIBD4G0476900,0
BDIBD4G0477100,0
BDIBD4G0477300,0
BDIBD4G0494700,0
BDIBD4G0494800,0
BDIBD4G0497100,0
BDIBD4G0498700,0
BDIBD4G0506200,0
BDIBD4G0507300,0
BDIBD4G0508100,0
BDIBD4G0509400,0
BDIBD4G0509900,0
BDIBD4G0510700,0
BDIBD4G0513500,0
BDIBD4G0518100,0
BDIBD4G0518700,0
BDIBD4G0522600,0
BDIBD4G0531800,0
BDIBD4G0532100,0
BDIBD4G0534800,0
BDIBD4G0543100,0
BDIBD4G0544000,0
BDIBD4G0547600,0
BDIBD4G0555500,0
BDIBD4G0556900,0
BDIBD4G0559700,0
BDIBD4G0559900,0
BDIBD4G0560400,0
BDIBD4G0560600,0
BDIBD4G0562000,0
BDIBD4G0574600,0
BDIBD4G0577100,0
BDIBD4G0577200,0
BDIBD4G0579500,0
BDIBD4G0580000,0
BDIBD4G0580800,0
BDIBD4G0596900,0
BDIBD4G0601200,0
BDIBD4G0602900,0
BDIBD4G0606200,0
BDIBD4G0611400,0
BDIBD4G0615900,0
BDIBD4G0619400,0
BDIBD4G0620100,0
BDIBD4G0620200,0
BDIBD4G0624200,0
BDIBD4G0626300,0
BDIBD4G0627500,0
BDIBD5G0000900,0
BDIBD5G0005400,0
BDIBD5G0007000,0
BDIBD5G0007200,0
BDIBD5G0007400,0
BDIBD5G0009500,0
BDIBD5G0024400,0
BDIBD5G0026800,0
BDIBD5G0027100,0
BDIBD5G0030100,0
BDIBD5G0031600,0
BDIBD5G0040300,0
BDIBD5G0057500,0
BDIBD5G0062100,0
BDIBD5G0068100,0
BDIBD5G0081300,0
BDIBD5G0081400,0
BDIBD5G0081800,0
BDIBD5G0082700,0
BDIBD5G0084300,0
BDIBD5G0087900,0
BDIBD5G0088100,0
BDIBD5G0090300,0
BDIBD5G0090800,0
BDIBD5G0093600,0
BDIBD5G0097000,0
BDIBD5G0098900,0
BDIBD5G0099100,0
BDIBD5G0107300,0
BDIBD5G0128000,0
BDIBD5G0131600,0
BDIBD5G0138150,0
BDIBD5G0138200,0
BDIBD5G0143100,0
BDIBD5G0144500,0
BDIBD5G0148200,0
BDIBD5G0152300,0
BDIBD5G0158300,0
BDIBD5G0167100,0
BDIBD5G0167700,0
BDIBD5G0170400,0
BDIBD5G0172000,0
BDIBD5G0176100,0
BDIBD5G0178900,0
BDIBD5G0183700,0
BDIBD5G0183900,0
BDIBD5G0191400,0
BDIBD5G0193600,0
BDIBD5G0194000,0
BDIBD5G0194400,0
BDIBD5G0200400,0
BDIBD5G0205200,0
BDIBD5G0207600,0
BDIBD5G0207700,0
BDIBD5G0208200,0
BDIBD5G0208600,0
BDIBD5G0208900,0
BDIBD5G0211200,0
BDIBD5G0215200,0
BDIBD5G0216000,0
BDIBD5G0218200,0
BDIBD5G0219800,0
BDIBD5G0219900,0
BDIBD5G0224201,0
BDIBD5G0231800,0
BDIBD5G0234200,0
BDIBD5G0236300,0
BDIBD5G0238401,0
BDIBD5G0238500,0
BDIBD5G0241200,0
BDIBD5G0242200,0
BDIBD5G0242500,0
BDIBD5G0242800,0
BDIBD5G0246800,0
BDIBD5G0252800,0
BDIBD5G0253400,0
BDIBD5G0253900,0
BDIBD5G0261500,0
BDIBD5G0262800,0
BDIBD5G0266700,0
BDIBD5G0267600,0
BDIBD5G0271000,0
